label,batch,seqlen,heads,dim,bf16_output_rms,tk_fp4_ms,tk_fp4_tflops,tk_fp4_speedup_bf16,tk_fp4_cosine,tk_fp4_relative_l2,tk_fp4_rmse,hao_fp4_ms,hao_fp4_tflops,hao_fp4_speedup_bf16,tk_fp8_ms,tk_fp8_tflops,tk_fp8_speedup_bf16,tk_fp8_cosine,tk_fp8_relative_l2,tk_fp8_rmse,hao_fp8_ms,hao_fp8_tflops,hao_fp8_speedup_bf16,bf16_ms,bf16_tflops
b1_s8192_h24_d128,1,8192,24,128,0.01833966001868248,0.3758080005645752,2194.295277357468,1.476903097091647,0.9628059267997742,0.2755834460258484,0.0050541069358587265,0.7209280133247375,1143.8502951619232,0.7698854666306744,0.5529599785804749,1491.3081466563808,1.0037471452644455,0.9567805528640747,0.29260501440682185,0.0053662764839828014,0.5960000157356262,1383.6135890268015,0.9312617202880105,0.5550319999456406,1485.7408598292782
b1_s16384_h24_d128,1,16384,24,128,0.012889530509710312,1.3417279720306396,2458.422982965637,1.4725965617761698,0.9626545310020447,0.27656492590904236,0.0035647922195494175,2.5774240493774414,1279.7796637789338,0.7665886406734194,1.9927359819412231,1655.2794315053884,0.9915131840628906,0.9570441842079163,0.29207941270061016,0.003764766501262784,2.152448058128357,1532.4573667976047,0.9179427076021031,1.975823998451233,1669.447727081757
b1_s32768_h24_d128,1,32768,24,128,0.009167023003101349,5.103744029998779,2585.1883354179804,1.6059050143941225,0.9630405902862549,0.27468693256378174,0.002518061315640807,9.771039962768555,1350.3311401434012,0.8388184022570297,7.59830379486084,1736.4585425283915,1.07867865661052,0.9574688673019409,0.2904580770771885,0.002662635874003172,8.28708791732788,1592.132201919051,0.9890239142777064,8.196128129959106,1609.8015214139693
b1_s1024_h32_d128,1,1024,32,128,0.05125639587640762,0.017952000722289085,956.9891094461458,4.56773612777131,0.9600644111633301,0.2872670292854309,0.01472427323460579,0.07673600316047668,223.88277309768185,1.068598817865081,0.02252800017595291,762.6007213165032,3.6399148448385517,0.9542813897132874,0.3020723874946453,0.015483141876757145,0.1348479986190796,127.40173647315241,0.608092097062643,0.0820000022649765,209.5105940178467
b1_s2048_h32_d128,1,2048,32,128,0.03649970889091492,0.04156799986958504,1653.182182245951,3.068899229947147,0.9615536332130432,0.2808787524700165,0.010251992382109165,0.15830400586128235,434.0981541314695,0.8058419121875989,0.05734400078654289,1198.3725549914302,2.224609393144216,0.9560863971710205,0.29564861699791056,0.010791088454425335,0.15032000094652176,457.15457892025836,0.8486429083751573,0.12756800279021263,538.6889755498496
b1_s4096_h32_d128,1,4096,32,128,0.025905581191182137,0.13551999628543854,2028.3199120300985,1.594451065594689,0.9625726342201233,0.27700290083885193,0.0071759214624762535,0.2529599964618683,1086.6457573873174,0.854206220386622,0.1945279985666275,1413.050609523708,1.110791269528723,0.9567826986312866,0.29296500354868904,0.007589428685605526,0.20723199844360352,1326.4259815493972,1.0426961285397736,0.21608000248670578,1272.1117353787135
b1_s8192_h32_d128,1,8192,32,128,0.018254417926073074,0.44444799423217773,2473.881403549815,1.5648175106616957,0.962631106376648,0.2766736149787903,0.005050515756011009,0.8438079953193665,1303.0353277938,0.8242159446353114,0.6451519727706909,1704.2676364361118,1.078009574962855,0.9568005800247192,0.2928431228295232,0.0053456807509064674,0.699679970741272,1571.4493393474286,0.9939973031043859,0.69548000395298,1580.9392384059624
b1_s16384_h32_d128,1,16384,32,128,0.012832189910113811,1.7377599477767944,2530.871146345988,1.4987938510516323,0.9624235033988953,0.2776845097541809,0.003563300473615527,3.2936959266662598,1335.2922094285482,0.790766355583976,2.5385279655456543,1732.5184401341207,1.026005606273406,0.9570236206054688,0.29246097114343483,0.003752914723008871,2.7617440223693848,1592.488831506832,0.9430794104144189,2.604543924331665,1688.6052371846845
b1_s32768_h32_d128,1,32768,32,128,0.009214372374117374,6.6775360107421875,2634.5325605306143,1.6801814192253992,0.9631316661834717,0.2740512192249298,0.002525209914892912,12.559359550476074,1400.7231796902536,0.8933156094756627,9.77454423904419,1799.796043087556,1.1478255821526286,0.9574708342552185,0.29020461888624427,0.0026740534231066704,10.662367820739746,1649.9323921462192,1.052249567833716,11.21947193145752,1568.004818042323
b4_s4096_h16_d128,4,4096,16,128,0.02582447975873947,0.22764800488948822,2414.9379835543873,1.6024036866967564,0.9624318480491638,0.2776753306388855,0.0071708206087350845,0.43612799048423767,1260.5377913891748,0.8364150209644959,0.33049601316452026,1663.4264620140293,1.1037470582814213,0.9568533897399902,0.2929033521219652,0.007564076688140631,0.3563840091228485,1542.5939430927008,1.0235700619730475,0.36478400230407715,1507.072158909353
b4_s4096_h32_d128,4,4096,32,128,0.025735441595315933,0.44444799423217773,2473.881403549815,1.5957052477000242,0.9621315598487854,0.2788512408733368,0.00717635964974761,0.8612160086631775,1276.6966901633853,0.8234960678760537,0.650272011756897,1690.8487646659632,1.0906328181185387,0.9565324783325195,0.29410512057588656,0.007568925153464079,0.7024799883365631,1565.185693587639,1.0095775089699062,0.7092079967260361,1550.3373239610216
