"Kernel Name","void tkfa4::bwd_cute16_kernel_candidate::detail::main_kernel_causal_cta2_fused_dense_role_split<(bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)0, (bool)1, (bool)1, (bool)1, __nv_bfloat16, (bool)1, (bool)0, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (int)64, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)0, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)0, (int)-1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)0, (bool)1, (bool)0, (bool)1, (bool)1, (bool)1, (bool)1, (bool)0, (bool)0, (bool)1, (bool)0, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)0, (bool)0, (bool)1, (bool)0, (int)0, (bool)0, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (int)5, (bool)1, (bool)1>(tkfa4::bwd_cute16_kernel_candidate::detail::cta2_fused_dense_globals_t<T18, T25, T114>)",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Derivative Avg. Predicated-On Threads Executed","Avg. Predicated-On Threads Unexecuted","Divergent Branches","Address Space","Access Operation","Access Size","L1 Tag Requests Global","L1 Conflicts Shared N-Way","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","L2 Theoretical Sectors Global Excessive","L2 Theoretical Sectors Global","L2 Theoretical Sectors Global Ideal","L2 Theoretical Sectors Local","L2 Explicit Evict Policies","L2 Explicit Hit Policy Evict First","L2 Explicit Hit Policy Evict Last","L2 Explicit Hit Policy Evict Normal","L2 Explicit Hit Policy Evict Normal Demote","L2 Explicit Miss Policy Evict First","L2 Explicit Miss Policy Evict Normal","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0xfffbb15d9180","      R2UR UR48, R6","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9190","      IMAD.X R10, RZ, RZ, R5, P5","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d91a0","      IADD3 R7, P4, PT, R4, 0x200, RZ","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d91b0","      IMAD.X R9, RZ, RZ, R5, P6","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d91c0","      R2UR UR50, R2","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d91d0","      IADD3 R6, P2, PT, R4, 0xe00, RZ","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d91e0","      IMAD.X R11, RZ, RZ, R5, P4","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d91f0","      IADD3 R2, P3, PT, R4, 0xc00, RZ","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9200","      R2UR UR46, R7","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9210","      IMAD.X R13, RZ, RZ, R5, P2","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9220","      R2UR UR40, R6","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9230","      IMAD.X R12, RZ, RZ, R5, P3","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9240","      IADD3 R7, P1, PT, R4, 0x400, RZ","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9250","      IADD3 R8, P0, PT, R4, 0x1300, RZ","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
